Spins: 4, Iterations: 100, Beta: 10.000000

Ei = -12 || Ef = 0 || R: 0.266510 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.150796 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.063447 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.332022 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.268754 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.065421 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.605472 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.836157 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.384358 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.260662 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.164000 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.102448 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.535030 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.439762 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.271677 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.916031 || C: 0.000000 || No flip

Final energies:
0,0,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,
