Spins: 4, Iterations: 100, Beta: 1.000000

Ei = 0 || Ef = -12 || Flip
Ei = -12 || Ef = 0 || R: 0.716787 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.706176 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.348571 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.229158 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.885382 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.443586 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.798326 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.986352 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.691711 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.068239 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.039959 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.909029 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.566354 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.237029 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.502170 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.275866 || C: 0.000006 || No flip

Final energies:
0,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,
