Spins: 16, Iterations: 100, Beta: 10.000000

Ei = 12 || Ef = 16 || R: 0.140658 || C: 0.000000 || No flip
Ei = 12 || Ef = 16 || R: 0.305200 || C: 0.000000 || No flip
Ei = 12 || Ef = 0 || Flip
Ei = 0 || Ef = -20 || Flip
Ei = -20 || Ef = -48 || Flip
Ei = -48 || Ef = -20 || R: 0.289270 || C: 0.000000 || No flip
Ei = -48 || Ef = -20 || R: 0.375161 || C: 0.000000 || No flip
Ei = -48 || Ef = -20 || R: 0.049031 || C: 0.000000 || No flip
Ei = -48 || Ef = -20 || R: 0.502135 || C: 0.000000 || No flip
Ei = -48 || Ef = -20 || R: 0.151282 || C: 0.000000 || No flip
Ei = -48 || Ef = -20 || R: 0.149814 || C: 0.000000 || No flip
Ei = -48 || Ef = -84 || Flip
Ei = -84 || Ef = -48 || R: 0.759022 || C: 0.000000 || No flip
Ei = -84 || Ef = -48 || R: 0.467537 || C: 0.000000 || No flip
Ei = -84 || Ef = -48 || R: 0.819694 || C: 0.000000 || No flip
Ei = -84 || Ef = -48 || R: 0.873443 || C: 0.000000 || No flip
Ei = -84 || Ef = -48 || R: 0.181287 || C: 0.000000 || No flip
Ei = -84 || Ef = -128 || Flip
Ei = -128 || Ef = -180 || Flip
Ei = -180 || Ef = -128 || R: 0.183612 || C: 0.000000 || No flip
Ei = -180 || Ef = -128 || R: 0.428181 || C: 0.000000 || No flip
Ei = -180 || Ef = -128 || R: 0.492969 || C: 0.000000 || No flip
Ei = -180 || Ef = -240 || Flip
Ei = -240 || Ef = -180 || R: 0.916501 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.703200 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.939787 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.472850 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.444022 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.116984 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.381686 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.648777 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.407172 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.601447 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.535768 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.038592 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.177734 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.285894 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.202423 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.664454 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.529108 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.084456 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.572989 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.559963 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.179971 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.198252 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.264425 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.289661 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.201510 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.344527 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.885231 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.594990 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.092573 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.339424 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.100804 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.413920 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.371533 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.098806 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.055683 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.961533 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.335717 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.797311 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.006814 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.271738 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.978080 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.945602 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.999384 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.926275 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.421476 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.386953 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.269578 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.152192 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.299250 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.585632 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.909767 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.590587 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.706951 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.845625 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.474869 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.922089 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.733627 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.316259 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.408283 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.824968 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.508234 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.352039 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.012795 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.418923 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.755228 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.666977 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.551721 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.910479 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.645461 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.972436 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.873467 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.573279 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.762216 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.340105 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.132073 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.000258 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.376995 || C: 0.000000 || No flip

Final energies:
12,12,12,0,-20,-48,-48,-48,-48,-48,-48,-48,-84,-84,-84,-84,-84,-84,-128,-180,-180,-180,-180,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,
