Spins: 16, Iterations: 100, Beta: 0.100000

Ei = 16 || Ef = 12 || Flip
Ei = 12 || Ef = 0 || Flip
Ei = 0 || Ef = 12 || R: 0.732777 || C: 0.301194 || No flip
Ei = -240 || Ef = -180 || R: 0.892564 || C: 0.002479 || No flip
Ei = -240 || Ef = -180 || R: 0.155307 || C: 0.002479 || No flip
Ei = -240 || Ef = -180 || R: 0.768771 || C: 0.002479 || No flip
Ei = -240 || Ef = -180 || R: 0.374057 || C: 0.002479 || No flip
Ei = -240 || Ef = -180 || R: 0.814018 || C: 0.002479 || No flip
Ei = -240 || Ef = -180 || R: 0.795731 || C: 0.002479 || No flip
Ei = -240 || Ef = -180 || R: 0.215577 || C: 0.002479 || No flip
Ei = -240 || Ef = -180 || R: 0.558138 || C: 0.002479 || No flip
Ei = -240 || Ef = -180 || R: 0.263655 || C: 0.002479 || No flip
Ei = -240 || Ef = -180 || R: 0.574709 || C: 0.002479 || No flip
Ei = -240 || Ef = -180 || R: 0.714194 || C: 0.002479 || No flip
Ei = -240 || Ef = -180 || R: 0.624916 || C: 0.002479 || No flip
Ei = -240 || Ef = -180 || R: 0.567938 || C: 0.002479 || No flip

Final energies:
16,12,0,0,-20,-20,-48,-48,-84,-84,-84,-84,-48,-48,-48,-48,-84,-84,-128,-128,-128,-128,-180,-180,-180,-180,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,
