Spins: 8, Iterations: 100, Beta: 10.000000

Ei = -8 || Ef = -4 || R: 0.167788 || C: 0.000000 || No flip
Ei = -8 || Ef = -4 || R: 0.830955 || C: 0.000000 || No flip
Ei = -8 || Ef = -4 || R: 0.237753 || C: 0.000000 || No flip
Ei = -8 || Ef = -4 || R: 0.313293 || C: 0.000000 || No flip
Ei = -8 || Ef = -4 || R: 0.706792 || C: 0.000000 || No flip
Ei = -8 || Ef = -4 || R: 0.172225 || C: 0.000000 || No flip
Ei = -8 || Ef = -4 || R: 0.590418 || C: 0.000000 || No flip
Ei = -8 || Ef = -4 || R: 0.769827 || C: 0.000000 || No flip
Ei = -8 || Ef = -4 || R: 0.653403 || C: 0.000000 || No flip
Ei = -8 || Ef = -4 || R: 0.639065 || C: 0.000000 || No flip
Ei = -8 || Ef = -4 || R: 0.247978 || C: 0.000000 || No flip
Ei = -8 || Ef = -4 || R: 0.855134 || C: 0.000000 || No flip
Ei = -8 || Ef = -4 || R: 0.415779 || C: 0.000000 || No flip
Ei = -8 || Ef = -4 || R: 0.979448 || C: 0.000000 || No flip
Ei = -8 || Ef = -4 || R: 0.195353 || C: 0.000000 || No flip
Ei = -8 || Ef = -4 || R: 0.504176 || C: 0.000000 || No flip

Final energies:
8,8,8,-4,-4,-4,-4,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,
