Spins: 16, Iterations: 100, Beta: 1.000000

Ei = -240 || Ef = -180 || R: 0.841210 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.244267 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.691933 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.048646 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.272519 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.784533 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.053666 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.561134 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.092140 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.095549 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.359286 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.433074 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.375301 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.943063 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.674903 || C: 0.000000 || No flip

Final energies:
-48,-84,-84,-128,-128,-128,-128,-128,-128,-128,-128,-128,-128,-128,-128,-128,-128,-128,-128,-128,-128,-128,-128,-128,-128,-128,-128,-128,-128,-128,-128,-128,-128,-128,-128,-128,-128,-128,-180,-180,-180,-180,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,
