Spins: 4, Iterations: 100, Beta: 1.000000

Ei = 0 || Ef = 4 || R: 0.922442 || C: 0.018316 || No flip
Ei = 0 || Ef = 4 || R: 0.571428 || C: 0.018316 || No flip
Ei = 0 || Ef = 4 || R: 0.093109 || C: 0.018316 || No flip
Ei = 0 || Ef = 4 || R: 0.754996 || C: 0.018316 || No flip
Ei = 0 || Ef = 4 || R: 0.360330 || C: 0.018316 || No flip
Ei = 0 || Ef = 4 || R: 0.562136 || C: 0.018316 || No flip
Ei = 0 || Ef = 4 || R: 0.293222 || C: 0.018316 || No flip
Ei = 0 || Ef = -12 || Flip
Ei = -12 || Ef = 0 || R: 0.846791 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.677225 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.834817 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.110234 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.524532 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.450818 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.248814 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.306861 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.997823 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.745070 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.926795 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.419486 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.951551 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.267802 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.456875 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.848389 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.331879 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.265185 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.576481 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.193842 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.612321 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.575187 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.720042 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.034777 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.715734 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.382356 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.371068 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.348196 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.965494 || C: 0.000006 || No flip
